movie_nm|ogroup|ti_mean|ti_min|ti_max
0.0mhz|1|1.7501360000000001|0.28023000000000003|16.38287
0.0mhz|2|2.997457|0.42762|14.844470000000001
0.0mhz|3|0.36730000000000007|0.22578|0.68948
1 더하기 3|1|0.00045|0.00045|0.00045
1 더하기 3|2|0.0005966666666666667|0.00045|0.00082
100일동안 100가지로 100퍼센트 행복찾기|1|0.049060333333333345|0.00112|0.32452
100일동안 100가지로 100퍼센트 행복찾기|2|0.21069866666666667|0.06197999999999999|0.41736999999999996
100일동안 100가지로 100퍼센트 행복찾기|3|0.05330666666666666|0.02327|0.10152
10년|1|0.007762666666666668|0.00256|0.02485
10년|2|0.011895999999999999|0.00451|0.026430000000000002
10년|3|0.021661666666666676|0.00481|0.11259000000000001
12번째 솔저|1|0.007238636363636364|0.00037|0.03682
12번째 솔저|2|0.05272866666666666|0.013019999999999999|0.13646
12번째 솔저|3|0.025404999999999997|0.007529999999999999|0.10144
13년의 공백|1|0.031534|0.00218|0.13202
13년의 공백|2|0.036667|0.00474|0.12757000000000002
13년의 공백|3|0.002932000000000001|0.0009699999999999999|0.0076
1919 유관순|1|0.207487|0.01031|0.78851
1919 유관순|2|0.2976183333333334|0.028839999999999998|1.0033
1919 유관순|3|0.02462966666666666|0.01461|0.04541
1944: 인간병기|2|0.001989310344827587|0.0005200000000000001|0.00632
1944: 인간병기|3|0.0011766666666666668|0.00037|0.00271
47미터 2|1|1.6389546666666663|0.32376|25.5815
47미터 2|2|2.4138553333333346|0.1345|17.54569
47미터 2|3|0.3375643333333334|0.08638|3.5514900000000003
5 솔저스|1|0.00428|0.0005200000000000001|0.01385
5 솔저스|2|0.06526566666666665|0.00655|0.30576
5 솔저스|3|0.010313333333333338|0.0044399999999999995|0.02613
600결사대|1|0.012948000000000001|0.0005200000000000001|0.04217
600결사대|2|0.05047866666666666|0.01054|0.2553
600결사대|3|0.007591333333333333|0.00346|0.01867
82년생 김지영|1|5.309984333333334|1.44486|13.47153
82년생 김지영|2|14.260907333333334|3.22147|39.223240000000004
82년생 김지영|3|3.060457333333334|1.0463799999999999|11.77904
9월의 사랑과 만날때까지|1|0.0015389999999999998|0.00037|0.00549
